Extractor,UserAgent,Permission,Original,ExtractedUrl
robots.txt,*,Disallow,Disallow: /a=353/,https://runescape.com/a=353/
robots.txt,*,Disallow,Disallow: /a=354/,https://runescape.com/a=354/
robots.txt,*,Disallow,Disallow: /a=355/,https://runescape.com/a=355/
robots.txt,*,Disallow,Disallow: /a=356/,https://runescape.com/a=356/
robots.txt,*,Disallow,Disallow: /a=357/,https://runescape.com/a=357/
robots.txt,*,Disallow,Disallow: /a=358/,https://runescape.com/a=358/
robots.txt,*,Disallow,Disallow: /a=359/,https://runescape.com/a=359/
robots.txt,*,Disallow,Disallow: /a=360/,https://runescape.com/a=360/
robots.txt,*,Disallow,Disallow: /a=361/,https://runescape.com/a=361/
robots.txt,*,Disallow,Disallow: /a=362/,https://runescape.com/a=362/
robots.txt,*,Disallow,Disallow: /a=363/,https://runescape.com/a=363/
robots.txt,*,Disallow,Disallow: /a=364/,https://runescape.com/a=364/
robots.txt,*,Disallow,Disallow: /a=365/,https://runescape.com/a=365/
robots.txt,*,Disallow,Disallow: /a=366/,https://runescape.com/a=366/
robots.txt,*,Disallow,Disallow: /a=367/,https://runescape.com/a=367/
robots.txt,*,Disallow,Disallow: /a=368/,https://runescape.com/a=368/
robots.txt,*,Disallow,Disallow: /a=369/,https://runescape.com/a=369/
robots.txt,*,Disallow,Disallow: /a=370/,https://runescape.com/a=370/
robots.txt,*,Disallow,Disallow: /a=371/,https://runescape.com/a=371/
robots.txt,*,Disallow,Disallow: /a=372/,https://runescape.com/a=372/
robots.txt,*,Disallow,Disallow: /a=373/,https://runescape.com/a=373/
